EventType,EventTime_ET,OffsetMin,Minute_ET,Actual,Forecast,Previous,BTC_ret_1m,ETH_ret_1m,Surprise,Category,BTC_volume_1m,ETH_volume_1m
CPI,2024-01-11 09:30:00-05:00,90,2024-01-11 11:00:00-05:00,0.3,0.3,0.3,-0.00226361,-0.00106766,0,Equal,165.85,870.36
CPI,2024-01-11 09:30:00-05:00,91,2024-01-11 11:01:00-05:00,0.3,0.3,0.3,0.00090214,0.0007202,0,Equal,186.3,1507.84
CPI,2024-01-11 09:30:00-05:00,92,2024-01-11 11:02:00-05:00,0.3,0.3,0.3,0.00434075,0.00274473,0,Equal,183.52,1272
CPI,2024-01-11 09:30:00-05:00,93,2024-01-11 11:03:00-05:00,0.3,0.3,0.3,-0.0011975,0.00071771,0,Equal,203.62,1326.12
CPI,2024-01-11 09:30:00-05:00,94,2024-01-11 11:04:00-05:00,0.3,0.3,0.3,0.00073592,0.00096897,0,Equal,110.16,798.66
CPI,2024-01-11 09:30:00-05:00,95,2024-01-11 11:05:00-05:00,0.3,0.3,0.3,-0.00463166,-0.00312897,0,Equal,148.23,1377.66
CPI,2024-01-11 09:30:00-05:00,96,2024-01-11 11:06:00-05:00,0.3,0.3,0.3,-0.00137585,-0.00175482,0,Equal,160.29,971.12
CPI,2024-01-11 09:30:00-05:00,97,2024-01-11 11:07:00-05:00,0.3,0.3,0.3,-0.0029715,-0.00378772,0,Equal,224.06,1531.33
CPI,2024-01-11 09:30:00-05:00,98,2024-01-11 11:08:00-05:00,0.3,0.3,0.3,-0.0022663,-0.0010649,0,Equal,424.77,2165.66
CPI,2024-01-11 09:30:00-05:00,99,2024-01-11 11:09:00-05:00,0.3,0.3,0.3,-0.00166531,-0.00205125,0,Equal,215.21,2041.51
CPI,2024-01-11 09:30:00-05:00,100,2024-01-11 11:10:00-05:00,0.3,0.3,0.3,-0.00087541,-0.00075971,0,Equal,216.14,1250.25
CPI,2024-01-11 09:30:00-05:00,101,2024-01-11 11:11:00-05:00,0.3,0.3,0.3,-0.00231117,-0.00113079,0,Equal,412.43,1976.52
CPI,2024-01-11 09:30:00-05:00,102,2024-01-11 11:12:00-05:00,0.3,0.3,0.3,0.00200234,0.00062979,0,Equal,252.5,1353.12
CPI,2024-01-11 09:30:00-05:00,103,2024-01-11 11:13:00-05:00,0.3,0.3,0.3,-0.00046471,-0.00095374,0,Equal,169.93,1014.18
CPI,2024-01-11 09:30:00-05:00,104,2024-01-11 11:14:00-05:00,0.3,0.3,0.3,-0.00289927,-0.00213347,0,Equal,140.42,995.99
CPI,2024-01-11 09:30:00-05:00,105,2024-01-11 11:15:00-05:00,0.3,0.3,0.3,-0.00164425,-0.00067782,0,Equal,180,1561.9
CPI,2024-01-11 09:30:00-05:00,106,2024-01-11 11:16:00-05:00,0.3,0.3,0.3,0.00038381,-0.00007752,0,Equal,657.29,3321.92
CPI,2024-01-11 09:30:00-05:00,107,2024-01-11 11:17:00-05:00,0.3,0.3,0.3,0.002738,0.00162799,0,Equal,299.61,2070.22
